dataset,threshold,deleted
pvivax,610,0.029736480127416202
pvivax,620,0.0568747784886866
pvivax,630,0.0607001582278481
pvivax,640,0.05836895411762229
pvivax,650,0.05554685927681746
pvivax,660,0.060755297738842196
pvivax,670,0.05966875898056417
pvivax,680,0.06125676907404429
pvivax,690,0.054602050432647
pvivax,700,0.04603534209333938
pvivax,710,0.046990278965200596
pvivax,720,0.043625610525966044
pvivax,730,0.04704002223457476
pvivax,740,0.04250820269777616
pvivax,750,0.03761803228754188
pvivax,760,0.03984016458300364
pvivax,770,0.04091639540154106
pvivax,780,0.03557312252964427
pvivax,790,0.042008196721311473
pvivax,800,0.044873285282492445
pvivax,810,0.04644595910418695
pvivax,820,0.04789135096497498
pvivax,830,0.04568854568854569
pvivax,840,0.04860642841087885
pvivax,850,0.04701435237138976
pvivax,860,0.051440966842268364
pvivax,870,0.04913426984645541
pvivax,880,0.05730777159348588
pvivax,890,0.0494934033092791
pvivax,900,0.06058282208588957
ecoli,610,0.0314391678744991
ecoli,620,0.04608173235624216
ecoli,630,0.03610399796987104
ecoli,640,0.03228663060648126
ecoli,650,0.03410580466450672
ecoli,660,0.03584780048138475
ecoli,670,0.038827216232007224
ecoli,680,0.035201149425287355
ecoli,690,0.03259064093017928
ecoli,700,0.030757844878626407
ecoli,710,0.03521578449039431
ecoli,720,0.043877421805749016
ecoli,730,0.03721607840540361
ecoli,740,0.037141481532430014
ecoli,750,0.0482891635116794
ecoli,760,0.042295278841101853
ecoli,770,0.04306595086014342
ecoli,780,0.05384930384930385
ecoli,790,0.033629084613719974
ecoli,800,0.04487638839125761
ecoli,810,0.04839163462440214
ecoli,820,0.055632206563516313
ecoli,830,0.044612575006522305
ecoli,840,0.041671217913708355
ecoli,850,0.03721433863338462
ecoli,860,0.04143482893334912
ecoli,870,0.04297888106706187
ecoli,880,0.040327784230223256
ecoli,890,0.043972298796476836
ecoli,900,0.09156762078908502
yeast,610,0.019901415062705385
yeast,620,0.021485878508989514
yeast,630,0.05396758797923113
yeast,640,0.021805817348560446
yeast,650,0.02282087127366154
yeast,660,0.02749101032362835
yeast,670,0.024616995335029687
yeast,680,0.020720530989082657
yeast,690,0.026244042539907177
yeast,700,0.02483542788749252
yeast,710,0.029822177413463085
yeast,720,0.028276454110063555
yeast,730,0.026402461233251448
yeast,740,0.03986182084467581
yeast,750,0.03437069951751695
yeast,760,0.030176854395604396
yeast,770,0.027132297614305315
yeast,780,0.026687898089171973
yeast,790,0.03292604261127263
yeast,800,0.04172265455072744
yeast,810,0.029244721524478205
yeast,820,0.027808375766393018
yeast,830,0.03145776770635141
yeast,840,0.03451015881074042
yeast,850,0.03806410315029034
yeast,860,0.028721154074672624
yeast,870,0.028420421596094793
yeast,880,0.03360868360742438
yeast,890,0.031546029057267576
yeast,900,0.08253054195145579
